course_id;course_name;module_code;module_name;course_subcategory;course_type;credits;required;availability;recommended_semester;prerequisites;frequency;language;description;url
;;;;;;;;;;;;;;
;Machine Learning 2;ATCS,DS,ML,VC;Algorithms and Theoretical Computer Science,Data Science,Machine Learning,Visual Computing;Applications,Machine Learning,Fundamentals 1,Foundations of Visual Computing;VO;3,3,3,3;0,0,2,0;S;0,0,2,0;;yearly;;;
;Machine Learning 2;ATCS,DS,ML,VC;Algorithms and Theoretical Computer Science,Data Science,Machine Learning,Visual Computing;Applications,Machine Learning,Fundamentals 1,Foundations of Visual Computing;KU;2,2,2,2;0,0,2,0;S;0,0,2,0;;yearly;;;
;Topological Data Analysis;ATCS,DS;Algorithms and Theoretical Computer Science,Data Science;Applications,Statistics;VU;5,5;0,0;S;0,0;;yearly;;;
;Network Science;ATCS,DS,ML;Algorithms and Theoretical Computer Science,Data Science,Machine Learning;Applications,Web Science,Data Mining;VU;5,5,5;0,0,0;W;0,1,0;;yearly;;;
;Algorithms and Games;ATCS,GE;Algorithms and Theoretical Computer Science,Games Engineering;Algorithms,Game Design;VU;4,4;0,1;W;0,1;;yearly;;;
;Social Media Technologies;DS,GE;Data Science,Games Engineering;Social Data Science,AI and Data Analysis;VU;3,3;0,0;S;0,0;;yearly;;;
;Cryptography;ATCS,ISEC;Algorithms and Theoretical Computer Science,Information Security;Applications,Cryptology and Privacy;VO;3,3;0,2;W;0,1;;yearly;;;
;Cryptography;ATCS,ISEC;Algorithms and Theoretical Computer Science,Information Security;Applications,Cryptology and Privacy;KU;2,2;0,2;W;0,1;;yearly;;;
;Verification and Model Checking;ATCS,ISEC,ST;Algorithms and Theoretical Computer Science,Information Security,Software Technology;Logic and Its Applications,Formal Methods,Validation & Verification;VU;5,5,5;0,1,0;S;0,2,0;;yearly;;;
;Privacy Enhancing Technologies;DS,ISEC;Data Science,Information Security;Data Management,Cryptology and Privacy;VO;3,3;0,0;W;0,0;;yearly;;;
;Privacy Enhancing Technologies;DS,ISEC;Data Science,Information Security;Data Management,Cryptology and Privacy;KU;2,2;0,0;W;0,0;;yearly;;;
;Formal Specification and Design of Software;ATCS,ISEC,ST;Algorithms and Theoretical Computer Science,Information Security,Software Technology;Logic and Its Applications,Formal Methods,Specification and Modelling;VU;5,5,5;0,0,0;W;0,0,0;;yearly;;;
;Knowledge Discovery and Data Mining 1;DS,INS,IVIS,ML,ROB;Data Science,Intelligent Systems,Interactive Visual and Information Systems,Machine Learning,Robotics;Knowledge Discovery,Fundamentals,Knowledge Discovery and Machine Learning,Data Mining,Reasoning and Deciding;VO;3,3,3,3,3;2,2,0,0,0;S;2,2,0,0,0;;yearly;;;
;Knowledge Discovery and Data Mining 1;DS,INS,IVIS,ML,ROB;Data Science,Intelligent Systems,Interactive Visual and Information Systems,Machine Learning,Robotics;Knowledge Discovery,Fundamentals,Knowledge Discovery and Machine Learning,Data Mining,Reasoning and Deciding;KU;1.5,1.5,1.5,1.5,1.5;2,2,0,0,0;S;2,2,0,0,0;;yearly;;;
;Natural Language Processing;DS,INS,ML;Data Science,Intelligent Systems,Machine Learning;Speech and Language,Fundamentals,Speech and Language;VU;5,5,5;0,1,0;S;0,2,0;;yearly;;;
;Human-AI Interaction 1;GE,INS,IVIS,ROB;Games Engineering,Intelligent Systems,Interactive Visual and Information Systems,Robotics;Emerging Interfaces and Technologies,Fundamentals,Human-Computer Interaction,Interaction;VU;5,5,5,5;0,1,0,0;W;0,1,0,0;;yearly;;;
;Advanced Topics in Artificial Intelligence;GE,INS,ROB,ST;Games Engineering,Intelligent Systems,Robotics,Software Technology;AI and Data Analysis,Artificial Intelligence,Interaction,Software Technology and AI;VO;3,3,3,3;0,0,0,0;W;0,0,0,0;;yearly;;;
;Advanced Topics in Artificial Intelligence;GE,INS,ROB,ST;Games Engineering,Intelligent Systems,Robotics,Software Technology;AI and Data Analysis,Artificial Intelligence,Interaction,Software Technology and AI;UE;2,2,2,2;0,0,0,0;W;0,0,0,0;;yearly;;;
